[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:05+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-02-27T00:14:06+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:06+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:06+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:06+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:06+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:06+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --START--
[ 2016-02-27T00:14:12+08:00 ] /index.php/Admin/User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.008000s ]
