[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | ERR: (ThinkException) 非法操作Style
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | INFO: Tag[ route_check ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | INFO: Tag[ app_begin ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Style/skin.css | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | ERR: (ThinkException) 非法操作Images
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | INFO: Tag[ route_check ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | INFO: Tag[ app_begin ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/logo.gif | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
